brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
Toyota,Aygo,2005,Automatic,73652,Hybrid,150,71.0,2.1,9696.23
Skoda,Citigo,2008,Semi-Auto,60993,Diesel,145,50.0,1.2,6865.51
VW,T-Roc,2021,Automatic,51378,Diesel,0,77.7,1.7,18426.66
Vauxhall,Insignia,2023,Automatic,4370,Hybrid,0,69.0,1.5,22312.35
Mercedes,C Class,2005,Semi-Auto,72173,Petrol,555,64.5,2.1,18841.58
Hyundai,i30,2023,Manual,33231,Electric,0,65.1,1.3,21076.63
Hyundai,Santa Fe,2023,Semi-Auto,48846,Electric,0,48.9,1.3,17725.12
Hyundai,Ioniq,2019,Manual,28978,Electric,20,27.1,1.0,13557.03
Mercedes,GLA Class,2022,Semi-Auto,7429,Petrol,145,67.9,2.2,33566.11
Audi,Q5,2023,Manual,5670,Hybrid,205,73.5,2.6,33161.97
VW,Passat,2015,Manual,41734,Diesel,150,54.3,1.0,11275.21
Hyundai,Tucson,2005,Manual,65119,Diesel,30,67.9,1.9,4563.31
Mercedes,GLC Class,2013,Semi-Auto,31837,Diesel,30,44.2,2.8,27610.91
Skoda,Citigo,2014,Semi-Auto,30770,Petrol,20,32.0,1.1,9299.92
Audi,A5,2007,Semi-Auto,54661,Diesel,20,55.3,1.2,14332.12
VW,Touareg,2022,Semi-Auto,13226,Petrol,20,52.6,1.7,23235.52
Skoda,Kodiaq,2007,Semi-Auto,80054,Diesel,145,43.5,1.4,6522.46
Audi,A3,2007,Manual,101987,Diesel,125,58.5,1.7,14016.56
Vauxhall,Insignia,2016,Manual,37629,Hybrid,205,70.7,1.9,15841.43
BMW,X3,2011,Manual,57755,Diesel,20,56.8,2.4,22946.97
Hyundai,Ioniq,2020,Automatic,124848,Electric,125,53.9,1.4,15210.3
Audi,A1,2019,Manual,37470,Petrol,150,25.8,2.1,26479.3
Skoda,Superb,2005,Semi-Auto,55009,Electric,20,62.9,1.1,3650.03
Ford,Puma,2020,Automatic,14255,Hybrid,150,71.5,1.1,18735.39
Hyundai,i30,2022,Semi-Auto,7985,Hybrid,145,39.8,1.0,18195.52
Ford,Mondeo,2013,Semi-Auto,32972,Diesel,20,73.2,1.3,12457.06
VW,T-Cross,2007,Semi-Auto,70472,Hybrid,0,53.3,2.1,10315.57
Mercedes,C Class,2010,Automatic,44464,Petrol,20,66.9,2.8,27223.24
Skoda,Citigo,2008,Semi-Auto,52496,Hybrid,125,40.6,1.3,7336.09
BMW,4 Series,2006,Semi-Auto,61575,Hybrid,20,59.8,2.8,20018.39
VW,Tiguan,2022,Semi-Auto,10230,Hybrid,0,53.2,1.2,20714.15
Mercedes,E Class,2007,Automatic,78455,Hybrid,20,37.3,1.8,20377.49
BMW,1 Series,2008,Semi-Auto,112416,Petrol,20,41.3,2.2,18631.81
Mercedes,B Class,2023,Automatic,10002,Diesel,20,42.6,1.4,33936.3
Audi,Q5,2011,Automatic,62135,Diesel,125,78.1,1.3,18143.19
Toyota,Aygo,2021,Semi-Auto,23116,Diesel,205,45.7,1.7,21354.16
Hyundai,Kona,2017,Manual,25484,Hybrid,205,53.2,1.3,12528.37
Mercedes,C Class,2012,Automatic,44153,Petrol,555,36.5,2.5,27768.72
Audi,A3,2017,Automatic,23285,Diesel,30,66.1,2.5,28651.38
BMW,4 Series,2009,Automatic,52394,Petrol,0,36.2,1.8,18814.23
BMW,X3,2009,Manual,72592,Hybrid,125,60.9,2.9,20933.31
BMW,1 Series,2018,Manual,62993,Hybrid,20,41.5,1.8,27464.93
Skoda,Octavia,2018,Semi-Auto,60459,Hybrid,30,44.1,1.4,13677.92
Hyundai,Tucson,2016,Manual,58432,Diesel,205,77.7,1.5,11918.21
Audi,A6,2005,Semi-Auto,55289,Electric,0,60.2,1.3,11608.96
Vauxhall,Grandland X,2014,Manual,40317,Electric,145,37.9,1.1,9627.08
Mercedes,B Class,2018,Manual,22623,Electric,555,48.8,2.6,30740.47
Skoda,Octavia,2012,Semi-Auto,66091,Diesel,555,47.4,1.7,9936.46
Toyota,Corolla,2010,Semi-Auto,78137,Diesel,125,41.0,1.7,11596.63
Vauxhall,Crossland X,2012,Automatic,71930,Diesel,145,67.5,1.1,8639.12
BMW,5 Series,2021,Semi-Auto,29444,Electric,20,50.5,1.5,29289.53
Hyundai,i30,2013,Manual,88017,Diesel,0,79.0,1.6,9368.21
Ford,Fiesta,2015,Automatic,37886,Electric,125,25.1,1.6,15692.15
Ford,Fiesta,2014,Automatic,47753,Electric,125,61.2,1.3,12197.78
Toyota,Land Cruiser,2023,Automatic,7481,Hybrid,125,56.2,1.1,23246.49
Hyundai,i30,2006,Semi-Auto,83429,Hybrid,150,45.9,1.5,3869.45
Vauxhall,Astra,2018,Automatic,36712,Petrol,30,29.6,1.7,15945.42
Hyundai,Tucson,2006,Manual,78872,Electric,20,69.8,1.4,5608.08
BMW,X5,2009,Manual,44824,Diesel,145,39.4,1.8,18625.76
Audi,Q3,2008,Semi-Auto,69418,Electric,125,29.2,2.8,18808.09
BMW,2 Series,2013,Automatic,35815,Diesel,30,66.0,1.6,25287.01
Audi,Q5,2011,Semi-Auto,77278,Hybrid,125,57.7,1.2,16568.19
Mercedes,A Class,2018,Automatic,52822,Hybrid,30,68.9,2.9,34900.16
Audi,A3,2023,Manual,9670,Hybrid,125,72.0,1.4,29776.57
Audi,A4,2011,Manual,51921,Diesel,555,55.7,1.3,17362.41
Hyundai,Kona,2009,Manual,46194,Petrol,150,57.6,1.7,8501.5
Mercedes,GLC Class,2018,Manual,33542,Petrol,205,32.2,2.7,32877.58
Audi,A4,2016,Manual,33357,Diesel,20,75.2,2.4,26109.86
BMW,3 Series,2011,Manual,60715,Diesel,30,54.6,2.1,21919.95
Mercedes,GLC Class,2021,Automatic,8227,Hybrid,125,42.1,2.8,35983.85
Vauxhall,Crossland X,2010,Automatic,62882,Electric,125,36.7,1.3,8689.33
Audi,A5,2017,Semi-Auto,27019,Electric,20,45.9,2.5,26450.13
BMW,3 Series,2006,Manual,53388,Petrol,30,42.8,2.3,18562.23
Audi,Q7,2010,Automatic,49477,Diesel,0,45.8,2.6,21076.96
VW,Touareg,2022,Manual,22959,Diesel,20,38.8,1.8,21399.98
Mercedes,C Class,2015,Automatic,30309,Diesel,555,37.0,2.7,30746.56
Hyundai,i20,2012,Automatic,42988,Petrol,20,53.1,1.5,10377.76
Toyota,Land Cruiser,2022,Manual,5999,Hybrid,150,65.7,1.7,23269.7
Audi,A1,2005,Manual,128410,Petrol,20,57.5,2.7,13905.69
Skoda,Fabia,2023,Manual,9213,Petrol,20,46.6,1.7,19229.69
Vauxhall,Grandland X,2016,Manual,35702,Petrol,150,69.5,1.7,12659.99
Toyota,Land Cruiser,2008,Automatic,56620,Hybrid,20,46.7,2.1,11970.67
VW,Touareg,2009,Automatic,56175,Electric,20,48.5,1.4,11327.17
Ford,Focus,2014,Automatic,29978,Petrol,205,46.1,1.3,13791.45
Vauxhall,Corsa,2006,Automatic,69095,Petrol,125,36.8,1.0,2757.01
Toyota,Corolla,2015,Manual,34727,Hybrid,30,47.4,2.1,18909.33
Toyota,C-HR,2023,Manual,4355,Diesel,125,70.9,1.6,23538.03
Skoda,Octavia,2006,Semi-Auto,85324,Hybrid,205,70.3,1.8,4754.8
Audi,Q7,2006,Automatic,63250,Electric,205,34.4,1.1,15477.21
VW,T-Roc,2016,Manual,26931,Diesel,0,37.7,1.2,14824.26
BMW,X3,2013,Automatic,37738,Petrol,0,66.2,2.8,28835.34
Mercedes,GLC Class,2013,Automatic,48129,Diesel,125,56.3,2.2,26741.83
VW,Golf,2017,Automatic,68688,Diesel,145,37.9,1.8,16801.63
Hyundai,i20,2007,Manual,56462,Electric,30,38.3,1.6,3964.21
VW,Tiguan,2014,Semi-Auto,27004,Hybrid,205,45.9,1.2,12876.52
Ford,Kuga,2021,Semi-Auto,55302,Diesel,145,78.2,1.1,18411.52
BMW,X5,2006,Semi-Auto,54674,Hybrid,30,63.4,2.9,20727.27
Skoda,Kodiaq,2016,Semi-Auto,23564,Petrol,150,60.5,1.2,14187.38
Skoda,Kamiq,2010,Semi-Auto,91847,Diesel,0,76.0,2.0,9278.52
BMW,X5,2017,Semi-Auto,29261,Electric,0,63.8,2.7,29026.85
Hyundai,Santa Fe,2008,Semi-Auto,53579,Diesel,30,57.5,1.6,5867.41
Mercedes,C Class,2009,Semi-Auto,51394,Petrol,145,40.3,2.4,24213.88
Audi,A6,2012,Manual,35344,Diesel,150,69.4,1.4,20690.63
Hyundai,Ioniq,2021,Semi-Auto,6724,Hybrid,125,40.5,1.9,19035.49
Ford,Galaxy,2008,Manual,77430,Petrol,555,45.5,1.7,6747.55
BMW,1 Series,2011,Manual,44348,Petrol,125,33.9,2.4,24371.88
Ford,Puma,2015,Manual,38221,Petrol,20,63.5,1.9,14381.9
BMW,X5,2015,Semi-Auto,63529,Petrol,205,47.5,2.2,24364.22
VW,Passat,2021,Manual,95909,Petrol,0,34.4,2.4,21359.79
Audi,A3,2015,Semi-Auto,37203,Petrol,0,62.7,2.1,23912.84
Hyundai,Santa Fe,2017,Semi-Auto,114908,Electric,145,47.4,1.6,10224.04
BMW,X3,2005,Automatic,92972,Diesel,150,62.4,2.1,17278.93
Ford,Fiesta,2007,Semi-Auto,56480,Petrol,145,64.2,1.8,7256.37
BMW,5 Series,2012,Manual,33140,Electric,0,40.4,2.3,21462.42
Ford,Galaxy,2018,Manual,49170,Diesel,125,42.1,1.8,15667.34
VW,Golf,2007,Manual,56229,Electric,20,40.2,1.4,5942.58
BMW,5 Series,2006,Automatic,56320,Hybrid,0,59.1,1.7,16785.58
Skoda,Karoq,2005,Semi-Auto,55412,Diesel,205,52.8,1.5,5054.11
Audi,Q7,2008,Manual,51888,Diesel,0,73.1,1.9,15795.41
Hyundai,Ioniq,2006,Automatic,61804,Diesel,20,52.9,1.4,6736.89
Audi,Q3,2009,Automatic,89140,Electric,125,67.3,1.1,15533.16
BMW,3 Series,2011,Semi-Auto,49583,Hybrid,30,71.8,2.0,21199.79
Toyota,RAV4,2008,Semi-Auto,106324,Electric,30,50.3,1.6,7944.9
Hyundai,Kona,2013,Semi-Auto,31242,Petrol,0,38.7,1.1,8706.15
VW,T-Roc,2011,Semi-Auto,43725,Hybrid,30,73.8,1.4,10532.05
Toyota,Aygo,2011,Manual,39589,Hybrid,20,40.6,1.9,12718.58
Skoda,Superb,2005,Automatic,74152,Petrol,20,69.7,1.5,6062.8
Mercedes,C Class,2023,Manual,2644,Petrol,145,45.4,2.5,36114.68
Ford,Puma,2023,Automatic,15732,Electric,205,50.8,1.8,21990.65
Mercedes,GLA Class,2019,Manual,13621,Hybrid,205,70.3,1.5,30006.87
Hyundai,i20,2015,Automatic,62475,Petrol,145,59.8,1.3,13034.17
Hyundai,i20,2011,Manual,36266,Diesel,125,71.3,1.8,12834.86
Mercedes,B Class,2018,Semi-Auto,69604,Petrol,555,56.5,2.0,28689.24
Ford,Puma,2008,Semi-Auto,92982,Electric,555,26.4,2.0,6235.46
Ford,Mondeo,2011,Semi-Auto,42820,Diesel,150,44.9,1.5,9143.33
Hyundai,Kona,2009,Automatic,51465,Petrol,0,69.1,1.8,10948.34
Skoda,Superb,2008,Manual,48484,Electric,30,49.7,1.3,4106.55
Toyota,RAV4,2016,Automatic,44504,Diesel,205,47.0,1.7,17109.99
Toyota,Corolla,2018,Automatic,28997,Petrol,555,34.7,2.4,20093.5
Toyota,Aygo,2009,Manual,73835,Hybrid,20,79.1,1.9,12656.4
Mercedes,B Class,2013,Semi-Auto,33386,Diesel,145,70.8,1.7,26933.05
VW,T-Cross,2006,Manual,66839,Diesel,0,45.1,1.7,6733.06
VW,T-Roc,2017,Semi-Auto,28672,Petrol,205,30.3,2.5,17608.14
VW,Golf,2007,Manual,48812,Diesel,0,50.1,2.2,9577.65
Audi,A3,2017,Automatic,18881,Petrol,145,37.6,2.2,26756.1
BMW,X1,2006,Semi-Auto,54946,Electric,125,63.8,2.7,20084.39
Vauxhall,Insignia,2018,Automatic,18044,Diesel,145,51.6,1.1,15095.71
Mercedes,A Class,2020,Semi-Auto,37837,Electric,0,42.6,2.3,33070.63
Vauxhall,Astra,2017,Semi-Auto,26388,Diesel,20,50.5,1.6,13744.75
Vauxhall,Insignia,2020,Semi-Auto,28759,Petrol,20,50.4,2.0,17292.74
Mercedes,A Class,2017,Automatic,73633,Hybrid,125,43.8,1.4,26407.84
Vauxhall,Astra,2007,Manual,97934,Hybrid,125,76.9,1.4,4903.77
Skoda,Superb,2008,Semi-Auto,78033,Petrol,30,34.2,1.5,6969.19
BMW,2 Series,2010,Manual,40430,Electric,125,58.8,1.7,18901.83
VW,Passat,2015,Manual,44192,Electric,150,50.8,1.7,13718.66
Toyota,Aygo,2011,Manual,44799,Electric,145,55.1,1.1,11816.16
Mercedes,C Class,2023,Manual,33681,Diesel,30,49.5,2.8,34173.32
Toyota,Corolla,2021,Manual,15629,Petrol,0,37.8,1.6,20731.39
Hyundai,Tucson,2011,Automatic,41422,Hybrid,20,52.9,1.8,10839.71
Ford,Puma,2020,Automatic,16130,Diesel,30,38.4,1.9,21438.09
BMW,X5,2023,Automatic,23819,Diesel,205,43.7,1.7,33855.11
Ford,EcoSport,2022,Semi-Auto,12004,Electric,555,55.9,1.8,20432.01
Hyundai,Ioniq,2018,Manual,27661,Diesel,30,73.2,1.9,17756.55
VW,Passat,2015,Semi-Auto,56282,Petrol,555,50.8,1.5,13792.01
Audi,Q5,2023,Automatic,23032,Electric,20,66.7,1.8,31771.34
Vauxhall,Crossland X,2006,Semi-Auto,51513,Electric,30,43.2,1.2,2318.67
Audi,Q2,2005,Semi-Auto,55147,Diesel,30,72.8,1.2,14506.06
Hyundai,Santa Fe,2016,Semi-Auto,39822,Diesel,150,52.7,1.1,11811.34
Audi,Q2,2022,Semi-Auto,4680,Petrol,30,43.2,2.4,28695.44
BMW,3 Series,2007,Automatic,51183,Diesel,555,52.9,2.0,18608.1
Audi,Q7,2023,Automatic,48343,Hybrid,145,63.1,1.5,28875.86
VW,Touareg,2005,Manual,54121,Diesel,150,36.7,2.3,6553.82
Audi,A5,2022,Semi-Auto,10354,Hybrid,30,48.1,2.0,29277.82
Mercedes,GLA Class,2015,Automatic,76089,Petrol,555,37.8,2.4,28246.6
VW,Tiguan,2019,Manual,27823,Electric,125,66.6,1.1,16744.74
VW,T-Roc,2019,Semi-Auto,55166,Electric,30,59.6,1.3,19037.33
Audi,Q5,2013,Semi-Auto,34349,Petrol,555,27.9,2.9,25953.59
Vauxhall,Grandland X,2022,Semi-Auto,6635,Electric,205,63.6,1.5,18863.46
VW,T-Roc,2009,Manual,51306,Hybrid,0,43.8,1.8,10789.66
VW,T-Cross,2021,Manual,34527,Electric,125,55.7,2.0,21492.68
Skoda,Citigo,2013,Manual,56782,Hybrid,150,52.6,1.8,11711.43
Vauxhall,Grandland X,2006,Manual,69197,Petrol,30,65.5,1.2,3500.7
Skoda,Kodiaq,2016,Semi-Auto,26148,Hybrid,555,58.6,1.2,11869.72
Toyota,Yaris,2009,Semi-Auto,69244,Hybrid,30,46.1,1.3,9183.94
VW,Passat,2023,Semi-Auto,8375,Electric,125,35.0,2.2,24243.19
VW,Tiguan,2008,Semi-Auto,110168,Electric,150,28.6,1.2,4861.9
Ford,EcoSport,2015,Automatic,32666,Electric,205,67.5,1.2,11165.15
Ford,EcoSport,2010,Semi-Auto,87058,Diesel,150,45.0,1.9,10904.26
BMW,4 Series,2021,Manual,39405,Electric,555,26.2,2.1,29731.48
VW,T-Cross,2017,Automatic,26366,Hybrid,555,49.4,1.0,17772.38
Mercedes,C Class,2012,Manual,42027,Diesel,20,63.0,1.8,24066.35
BMW,X5,2020,Manual,40591,Petrol,150,62.5,1.8,28948.85
Hyundai,i30,2006,Manual,78067,Hybrid,150,48.8,1.2,4207.68
Mercedes,E Class,2008,Semi-Auto,77705,Hybrid,30,44.7,1.6,18610.66
Skoda,Kamiq,2011,Semi-Auto,37052,Electric,20,67.8,1.7,12384.88
Hyundai,Ioniq,2018,Semi-Auto,25279,Hybrid,145,78.2,1.0,14422.42
Ford,Mondeo,2008,Semi-Auto,72643,Petrol,555,40.9,1.0,7875.7
Toyota,RAV4,2021,Manual,14831,Electric,30,52.2,1.8,20658.51
Vauxhall,Corsa,2013,Semi-Auto,57675,Diesel,150,58.1,1.2,10098.24
Toyota,Yaris,2009,Semi-Auto,57779,Electric,205,68.0,1.6,10321.35
Vauxhall,Grandland X,2019,Semi-Auto,39614,Hybrid,150,41.2,1.9,14980.78
VW,T-Cross,2013,Automatic,43178,Hybrid,150,54.0,2.1,14513.67
Skoda,Kodiaq,2014,Manual,72646,Diesel,20,62.6,1.3,8142.52
BMW,X3,2015,Manual,38890,Diesel,0,35.3,2.9,25525.73
Audi,A4,2014,Semi-Auto,38838,Diesel,20,74.5,2.2,24387.38
Hyundai,i20,2008,Semi-Auto,47635,Hybrid,150,35.3,1.1,6283.17
Vauxhall,Corsa,2021,Manual,42539,Electric,20,33.2,1.6,15194.87
Mercedes,C Class,2014,Automatic,42999,Electric,555,52.9,2.0,27665.75
Ford,Puma,2012,Semi-Auto,51338,Electric,145,60.5,1.9,11360.11
Toyota,Yaris,2005,Manual,80279,Hybrid,30,79.3,2.3,7088.09
Skoda,Octavia,2011,Manual,56908,Diesel,20,42.8,1.8,11013.85
Ford,Focus,2007,Manual,49417,Diesel,0,74.5,1.6,9162.09
Mercedes,GLA Class,2007,Manual,66191,Electric,125,64.8,2.6,20998.74
Toyota,Corolla,2020,Manual,19005,Diesel,0,55.8,2.1,23351.35
VW,Golf,2020,Semi-Auto,17310,Petrol,30,33.0,2.0,19965.99
Skoda,Superb,2019,Semi-Auto,52750,Hybrid,145,51.3,1.7,16622.86
Vauxhall,Astra,2017,Manual,55618,Petrol,555,52.8,1.3,12692.31
Toyota,Land Cruiser,2022,Manual,7013,Petrol,30,49.7,1.6,21030.8
Vauxhall,Corsa,2020,Manual,33524,Petrol,555,34.7,1.5,15583.38
Hyundai,Kona,2023,Manual,15329,Petrol,125,32.8,1.3,17373.09
Toyota,Yaris,2008,Automatic,49758,Electric,20,54.6,2.2,13269.92
Mercedes,B Class,2022,Automatic,3847,Diesel,150,42.5,1.7,34365.77
Hyundai,Ioniq,2023,Automatic,39029,Diesel,145,77.3,1.3,18146.07
Toyota,Aygo,2020,Automatic,30987,Electric,125,64.7,2.1,23567.77
Ford,Galaxy,2017,Semi-Auto,43405,Diesel,145,60.7,1.9,16368.14
Mercedes,GLA Class,2020,Automatic,62232,Petrol,555,45.1,1.6,28058.69
Audi,A4,2023,Manual,1085,Electric,125,27.5,1.1,27774.43
Vauxhall,Grandland X,2020,Automatic,34898,Petrol,150,56.9,1.2,16319.58
Ford,EcoSport,2022,Automatic,18205,Diesel,20,36.3,1.1,18647.06
Ford,Galaxy,2016,Semi-Auto,37621,Petrol,0,32.8,1.5,12625.16
Mercedes,GLA Class,2020,Automatic,18552,Electric,555,47.8,2.2,33393.4
Skoda,Karoq,2011,Automatic,55204,Hybrid,125,51.1,1.7,11119.26
VW,T-Roc,2006,Manual,68915,Diesel,125,79.0,1.0,6351.44
Toyota,Land Cruiser,2007,Automatic,52264,Hybrid,30,38.0,1.2,10111.58
Hyundai,Ioniq,2023,Manual,18449,Petrol,30,53.9,1.8,22373.19
Skoda,Karoq,2005,Manual,67458,Hybrid,125,47.5,1.2,1500.0
Audi,A5,2005,Automatic,68650,Electric,555,28.7,3.0,17328.96
BMW,2 Series,2009,Semi-Auto,46401,Petrol,20,57.9,2.4,20518.68
Hyundai,i20,2008,Automatic,46775,Electric,30,58.9,1.4,8472.0
Audi,A3,2007,Manual,59462,Petrol,30,29.7,1.8,13894.79
Audi,A3,2006,Semi-Auto,57480,Diesel,555,64.8,2.4,18938.55
Hyundai,i20,2011,Manual,52336,Hybrid,150,54.4,1.6,10122.87
Hyundai,Kona,2005,Automatic,105187,Diesel,145,74.5,1.5,4195.78
VW,Polo,2009,Semi-Auto,55958,Diesel,205,47.8,1.2,9975.13
VW,Golf,2015,Manual,24748,Hybrid,145,41.8,2.5,16330.98
Toyota,Yaris,2005,Automatic,66878,Diesel,150,51.5,2.1,10104.89
Toyota,Prius,2007,Automatic,48241,Petrol,150,34.7,2.2,11015.0
Ford,Galaxy,2023,Semi-Auto,16095,Petrol,555,35.3,1.8,20948.81
BMW,3 Series,2013,Manual,31785,Electric,150,49.7,2.9,27833.03
Toyota,Corolla,2009,Manual,113843,Petrol,30,28.4,1.4,10605.63
Audi,A4,2020,Manual,14399,Electric,555,52.6,1.2,26198.54
Hyundai,Kona,2020,Semi-Auto,22213,Petrol,555,52.9,1.2,15608.11
BMW,X3,2018,Automatic,17244,Petrol,145,30.8,2.1,28504.6
VW,Passat,2008,Semi-Auto,81338,Hybrid,0,73.9,1.4,7418.78
Hyundai,Santa Fe,2014,Manual,41060,Diesel,150,35.8,1.1,9660.32
Toyota,C-HR,2023,Automatic,29284,Electric,145,65.2,1.6,24219.33
BMW,X1,2019,Automatic,14538,Hybrid,30,54.1,2.1,29427.83
Hyundai,i30,2020,Manual,9742,Diesel,205,46.3,1.8,19609.79
Audi,A3,2006,Automatic,57087,Petrol,20,60.9,2.5,17509.3
Audi,A5,2005,Automatic,64953,Electric,205,29.5,2.1,14713.09
Mercedes,A Class,2020,Manual,26236,Electric,20,49.5,2.2,31135.45
Skoda,Superb,2008,Manual,61921,Petrol,150,29.9,1.9,5807.03
Audi,Q5,2007,Manual,50254,Petrol,0,29.6,1.8,13733.8
Vauxhall,Insignia,2012,Semi-Auto,42139,Petrol,145,61.6,2.0,11544.73
Skoda,Kamiq,2013,Semi-Auto,97789,Hybrid,20,53.0,1.2,8764.38
Hyundai,i10,2005,Automatic,124180,Electric,150,48.9,1.2,2678.24
Vauxhall,Crossland X,2018,Automatic,39137,Hybrid,0,44.2,1.5,16621.2
Skoda,Fabia,2011,Automatic,42715,Electric,555,61.4,1.2,9586.17
Mercedes,E Class,2017,Semi-Auto,31156,Diesel,125,61.3,1.4,30182.5
Ford,Mondeo,2020,Manual,37357,Petrol,205,37.0,1.1,15182.99
Toyota,Aygo,2014,Semi-Auto,78710,Petrol,0,60.8,2.1,14126.86
Vauxhall,Grandland X,2020,Automatic,10157,Electric,0,36.4,1.1,17685.64
Mercedes,GLA Class,2012,Automatic,51850,Petrol,145,50.3,2.7,26867.02
Audi,Q2,2012,Automatic,48811,Petrol,145,32.7,1.6,18792.21
VW,Polo,2023,Semi-Auto,38217,Electric,555,42.8,2.4,21661.32
Hyundai,Santa Fe,2007,Manual,64384,Electric,205,55.8,1.6,4813.93
Toyota,RAV4,2022,Automatic,3323,Hybrid,20,75.9,1.2,23418.86
Ford,Focus,2020,Semi-Auto,75310,Petrol,125,50.7,1.5,18255.75
Hyundai,Ioniq,2010,Semi-Auto,40661,Electric,145,58.2,1.2,6166.72
BMW,X5,2005,Manual,76984,Hybrid,30,54.4,1.7,15321.47
Audi,A5,2019,Manual,14696,Electric,30,49.3,2.6,29189.86
BMW,2 Series,2018,Manual,32432,Diesel,145,64.7,2.5,28616.54
BMW,2 Series,2012,Semi-Auto,75378,Electric,20,65.4,2.9,25862.57
Vauxhall,Corsa,2022,Automatic,23921,Hybrid,20,57.9,1.9,20769.72
VW,T-Roc,2013,Semi-Auto,32814,Diesel,150,40.4,1.2,13198.52
VW,Tiguan,2012,Automatic,40412,Electric,0,41.8,2.5,16408.08
VW,Golf,2006,Manual,58161,Hybrid,150,53.8,1.8,9122.02
Vauxhall,Insignia,2007,Manual,52067,Diesel,205,38.8,1.4,4606.12
BMW,2 Series,2010,Automatic,44118,Electric,30,51.6,2.5,25018.25
Toyota,RAV4,2021,Manual,25174,Electric,555,42.6,2.1,22061.2
Audi,A6,2006,Automatic,63643,Hybrid,20,40.3,1.5,14154.66
Toyota,Aygo,2016,Semi-Auto,24202,Petrol,125,49.8,1.7,17069.9
Ford,Puma,2014,Automatic,56312,Diesel,20,52.0,1.3,12486.68
Vauxhall,Grandland X,2017,Manual,29085,Hybrid,205,74.8,1.6,14635.01
Mercedes,GLA Class,2017,Semi-Auto,18700,Diesel,205,77.1,2.5,31261.61
Audi,A6,2019,Automatic,23805,Hybrid,30,55.0,1.3,26081.26
VW,T-Cross,2008,Semi-Auto,46813,Diesel,125,77.0,1.2,8984.03
Toyota,Corolla,2022,Automatic,18459,Diesel,125,78.5,1.0,22253.88
Mercedes,GLA Class,2017,Automatic,53388,Diesel,30,74.6,2.3,31498.75
Mercedes,E Class,2020,Manual,11870,Electric,0,28.1,2.3,32037.34
BMW,2 Series,2014,Manual,36032,Diesel,125,40.1,3.0,26922.91
Skoda,Karoq,2010,Manual,94670,Electric,205,34.6,1.1,4954.3
Audi,Q2,2010,Manual,63133,Petrol,20,39.5,2.8,18428.55
Toyota,Corolla,2005,Manual,82990,Hybrid,145,47.5,2.4,9314.54
Vauxhall,Astra,2013,Manual,31318,Petrol,125,54.3,1.4,11662.9
Mercedes,C Class,2005,Automatic,63795,Electric,555,27.8,2.0,17343.66
BMW,3 Series,2013,Automatic,111428,Petrol,0,68.0,2.3,22139.94
Toyota,C-HR,2022,Manual,23587,Petrol,205,44.9,1.4,22793.98
VW,Touareg,2008,Manual,56401,Hybrid,205,76.4,1.9,9758.2
Mercedes,GLA Class,2018,Automatic,55732,Diesel,555,61.2,2.5,30602.55
Mercedes,GLA Class,2017,Automatic,46227,Hybrid,150,74.0,2.5,29969.95
Skoda,Kamiq,2013,Semi-Auto,40009,Petrol,30,52.6,1.1,9326.68
Audi,Q5,2016,Manual,48124,Electric,20,27.0,2.8,27306.38
BMW,X5,2007,Semi-Auto,53183,Petrol,205,51.8,1.8,17484.21
Hyundai,Tucson,2015,Manual,36860,Electric,20,54.1,2.0,13732.53
VW,Tiguan,2013,Semi-Auto,33678,Hybrid,0,52.1,1.9,12912.72
Audi,A1,2023,Semi-Auto,1182,Diesel,145,78.7,1.6,28307.65
Ford,Fiesta,2014,Semi-Auto,44508,Electric,205,37.3,1.7,14854.98
Toyota,C-HR,2018,Manual,25871,Hybrid,0,46.8,2.2,21327.9
Mercedes,C Class,2018,Semi-Auto,39152,Electric,0,40.3,2.6,30697.81
Vauxhall,Mokka,2015,Manual,24147,Diesel,0,71.2,1.8,10866.78
Toyota,Yaris,2012,Semi-Auto,56534,Hybrid,30,74.4,2.2,14897.82
Ford,Galaxy,2018,Semi-Auto,24185,Hybrid,150,52.8,1.1,15726.65
Skoda,Fabia,2006,Manual,128295,Electric,30,33.4,1.2,2133.06
Ford,Kuga,2010,Semi-Auto,87143,Electric,555,46.5,2.0,6124.82
Mercedes,E Class,2009,Semi-Auto,67264,Petrol,30,29.7,2.0,22278.71
Mercedes,GLC Class,2008,Manual,84955,Hybrid,145,73.3,2.8,23092.84
VW,Touareg,2021,Automatic,18208,Electric,0,25.3,2.5,20033.96
BMW,X5,2023,Automatic,68047,Electric,30,47.3,2.2,31259.65
Hyundai,Ioniq,2007,Manual,71891,Hybrid,0,70.4,1.4,4736.3
Mercedes,E Class,2009,Automatic,57957,Electric,205,63.4,2.6,24421.86
BMW,3 Series,2008,Manual,55796,Petrol,555,36.3,1.8,17615.35
Skoda,Fabia,2018,Semi-Auto,50027,Electric,555,49.0,1.9,16601.75
VW,T-Cross,2010,Semi-Auto,55314,Hybrid,30,42.9,2.4,9993.24
BMW,4 Series,2021,Semi-Auto,18675,Hybrid,145,68.9,2.0,31041.54
Audi,A1,2018,Semi-Auto,54018,Hybrid,555,47.8,2.3,24421.94
Skoda,Karoq,2009,Manual,44763,Petrol,30,67.5,1.1,7007.44
Vauxhall,Mokka,2022,Automatic,10072,Electric,20,52.9,1.7,20051.47
